群名,发信人,时间,内容
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 10:12,当然吃了点成个人吗，定位瞎鸡巴定位然后打电话给他他老说听不到我声音我说软件给你发，我跟她讲我说我已经在你定位的地方，老是跟我讲在路过在路过我打了双闪看没看到我在路口我在路口就一直跟我讲我在路口我他妈知道你在哪个角落个逼的一笔鸟的密码你一听什么后面全让喇叭的脑子有病，
【25416011】精鹰担保共创群,军哥17502503264,2018/7/6 10:18,滴滴发展计划的，
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 10:22,@军哥17502503264 那我给您加10分？
【25416011】精鹰担保共创群,军哥17502503264,2018/7/6 10:22,@小滴管理员-小红?服务分老是降，不涨，心情能好吗
【25416011】精鹰担保共创群,军哥17502503264,2018/7/6 10:22,@小滴管理员-小红?会聊天
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 10:20,后天下手都能成个家了咱们写上去评语表写什么东西打开零零六六六就行了，
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 10:23,@军哥17502503264 [愉快]
【25416011】精鹰担保共创群,Ray,2018/7/6 10:22,我是扣完不还[捂脸][捂脸][捂脸]
【25416011】精鹰担保共创群,玲美好,2018/7/6 9:12,今天来京很好，刚才我从玄武湖隧道经过一路畅通，也有不认识，本来更快一点，有老师就搞慢一点了，
【25416011】精鹰担保共创群,放,2018/7/6 10:29,根本停不下来
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 10:29,哈哈，和我聊天就没单子了
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 10:30,@舍得 过分了
【25416011】精鹰担保共创群,Ray,2018/7/6 9:26,我遇到最奇葩的是什么嘛在我车上剪指甲，然后我让他不要写他还是写也是一个女的后来我就把车停下来了我说那个简历下去接吗？
【25416011】精鹰担保共创群,军哥17502503264,2018/7/6 10:26,我心不是完整的我服务给客户，不要不要的我心都碎的了，
【25416011】精鹰担保共创群,Eco,2018/7/6 10:37,调度
【25416011】精鹰担保共创群,放,2018/7/6 10:34,18单
【25416011】精鹰担保共创群,潘祥,2018/7/6 10:43,百公里8升油就是快7毛一公里
【25416011】精鹰担保共创群,Eco,2018/7/6 10:49,一单起步又调度
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 11:17,有
【25416011】精鹰担保共创群,宇先生,2018/7/6 11:27,喝点酒。晚上开滴滴才叫爽
【25416011】精鹰担保共创群,宇先生,2018/7/6 11:23,打麻将去啦
【25416011】精鹰担保共创群,玲美好,2018/7/6 12:41,还有这个代笔进小区往前二百五十米他都不能走，
【25416011】精鹰担保共创群,玲美好,2018/7/6 12:40,叼你，跟他半天他不来我都没讲什么东西我就这个实际先还是不行啊什么东西，我说中国屌丝欢迎得闲吗，钱都花了好多我就差亚子乖乖，他说他赶时间就吹了哦，哎呀这什么吊人啊这叫大，
【25416011】精鹰担保共创群,玲美好,2018/7/6 12:39,他妈个比的，哦这样骂人现在这一调成的是还刚才这个穷女人都是在那半年老子都没说什么？
【25416011】精鹰担保共创群,一棵树,2018/7/6 12:47,250米挺远的，她们的鞋子不能碰到水，鞋子贵
【25416011】精鹰担保共创群,玲美好,2018/7/6 12:55,销售啊这是一种病态，什么叫享受啊，
【25416011】精鹰担保共创群,玲美好,2018/7/6 12:56,唉这个人在扯到他就已经讲了说没钱买车，
【25416011】精鹰担保共创群,苹果,2018/7/6 12:48,玲姐玲姐联系到二百五十米还好的啊，我们系小鸡都五十米他都不走啊，安利第二个啊乖乖的啊正常啊，不要生气不要生气，
【25416011】精鹰担保共创群,苹果,2018/7/6 12:48,实在实在有些乘客都是那密码呢他他他那个女的外面等了五分钟我的是他上车就催我赶时间啊赶时间啊，
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 12:55,有的乘客还是比较好说话的，什么样的都要
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 12:55,见怪不怪了，哈哈
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 12:55,哥哥们吃饭饭了哦
【25416011】精鹰担保共创群,玲美好,2018/7/6 12:53,反正成了数据整理越来越差每次一发掘美丽乘客全都是人渣，全都是疯狗，淋巴不小心就被它咬一口，
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/6 2:30,打车便宜，为什么不打
【25416011】精鹰担保共创群,潘祥,2018/7/6 2:29,过个马路
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 2:39,@舍得 什么大的啊
【25416011】精鹰担保共创群,放,2018/7/6 2:31,打车1块
【25416011】精鹰担保共创群,武六七,2018/7/6 2:45,马上下班赖
【25416011】精鹰担保共创群,放,2018/7/6 2:39,[机智][机智][机智]
【25416011】精鹰担保共创群,放,2018/7/6 2:41,我买花那次
【25416011】精鹰担保共创群,宇先生,2018/7/6 3:12,没有在江浦的么
【25416011】精鹰担保共创群,放,2018/7/6 2:32,昨天又是2点
【25416011】精鹰担保共创群,放,2018/7/6 2:30,女人会走
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 2:38,@舍得 该休息的时候一定要休息
【25416011】精鹰担保共创群,放,2018/7/6 2:40,@小滴管理员-小红?以前你不是答应了吗
【25416011】精鹰担保共创群,放,2018/7/6 2:38,@小滴管理员-小红?要不我把大的休了，找你，你说呢？
【25416011】精鹰担保共创群,宇先生,2018/7/6 2:55,谁在江浦。我马上打滴滴去河西
【25416011】精鹰担保共创群,武六七,2018/7/6 2:32,浪费资源知道吧要寄传单也不给我派这种小臂单子给我发死亡，
【25416011】精鹰担保共创群,武六七,2018/7/6 2:33,我昨天三点钟睡觉的我早上六点半都起来跑车了，诶诶，好个半小时，啪啪机场没机场回家，
【25416011】精鹰担保共创群,武六七,2018/7/6 2:31,矫情是不是矫情，这才几百米都走不了了，
【25416011】精鹰担保共创群,武六七,2018/7/6 2:40,看看看看，全是这种单子，全是这种单子，我操我要笑死了这样表达，
【25416011】精鹰担保共创群,放,2018/7/6 2:32,我快困死了
【25416011】精鹰担保共创群,放,2018/7/6 2:41,谁说大姐好辛福的？
【25416011】精鹰担保共创群,玲美好,2018/7/6 3:55,那个陪了我不陪了我经营的不想跑，我明年就退出ｏｄｉｎｄｏｍｅｔｏｏ，ａｐｐｌｏｏｔｒａｖｅｃｈｕｌｅｉｌａｏｍａ，
【25416011】精鹰担保共创群,玲美好,2018/7/6 3:56,ｌｌｌｌｌ稽查来要算了而且他很我说我最红，哦然后，恐怕那路口的人二十个大概有狗狗的气场是什么白是什么白，人家到机场来都发财了噢到机场了就破产了，哎呀破产也破产，
【25416011】精鹰担保共创群,玲美好,2018/7/6 3:56,我现在对机场恐惧的一塌糊涂，大家也没有办法有没有办法，小红啊，快来求救啊快来解决我发呆然后子不是我要来的啊是平台派我来的，我已经发过好几次了，我今年所有的节大嘴，我不能说老公吧，
